seismic_low_energy,seismic_mid_energy,seismic_high_energy,seismic_peak_freq,seismic_rms,seismic_centroid,seismic_variance,seismic_zcr,seismic_peak_count,seismic_kurtosis,sound_low_energy,sound_mid_energy,sound_high_energy,sound_peak_freq,sound_rms,sound_centroid,sound_variance,sound_zcr,sound_peak_count,sound_kurtosis,label
53733.00828208861,22972.43807953351,5619.362099395502,0.0,15.40788778148275,122.75044551853976,2965.9530639648438,0.0,26,15.109556583172633,10123.554575863147,6315.1590908902,2783.981671035533,0.0,24.56175641362524,25.86473226229106,120.400146484375,0.0,38,3.2354750410835753,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
53523.490977916335,23747.772124332256,6159.742216985869,0.0,16.12337836358005,123.30912628431037,3012.150146484375,0.0,27,14.6115659642387,10087.395863045924,6219.378412390733,2765.351615612375,0.0,24.468376982710673,25.7769882841266,119.5224609375,0.0,37,3.286937228658435,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
53377.7051360362,24315.44084793297,5681.0180633461,0.0,15.662193522421523,123.89320943356823,3060.5923919677734,0.0,28,14.116791009622471,10064.061445078745,6093.787991757814,2683.859672588581,0.0,24.10863182279819,25.711439574632923,119.0615234375,0.0,36,3.3237148117180224,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
53333.99524262035,24578.046021493854,5709.337767755137,0.0,15.57819045004316,124.42627711821969,3103.5975952148438,0.0,29,13.687012061012167,10061.203591040949,6080.107959462182,2676.3562117266542,0.0,24.0666557731123,25.703538180569616,119.01898193359375,0.0,36,3.3281030405817176,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
53389.054495631644,24697.282926150656,5462.034613387399,0.0,15.250798935250423,124.88527547813634,3137.063461303711,0.0,29,13.345705188713406,10081.506676779376,6162.09606362852,2722.631343125068,0.0,24.20474895414227,25.752806279122282,119.55223083496094,0.0,37,3.2924074867639437,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
53530.83684747166,24784.905259846102,5318.427785008743,0.0,15.134710041625839,125.2941538939467,3163.3734741210938,0.0,30,13.068977233375785,10141.171396356576,6370.4165849311585,2919.078695802805,0.0,24.99869222605468,25.879830466987222,121.9130859375,0.0,38,3.2402515509331606,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
53734.739259293594,24590.465044812456,5287.561711189599,0.0,14.989878649575427,125.6552824198012,3183.9252319335938,0.0,31,12.845127588173327,10194.648079946426,6439.954926655002,2710.9641515428248,0.0,24.098495740503257,25.949771193596295,122.6083984375,0.0,39,3.1966493330816195,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
53986.73638540789,24319.136773678565,5239.629235371032,0.0,14.835847055998162,125.99429550578867,3200.728271484375,0.0,31,12.654083254964405,10245.820696479543,6412.868625435738,2773.6973451063027,0.0,24.294719554953684,26.003530409350187,123.01524353027344,0.0,39,3.166154707933261,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
54255.38394181058,24226.590844816703,5184.93885171546,0.0,14.74340620070437,126.30592820608223,3214.1854858398438,0.0,32,12.493304098720333,10272.053044561728,6373.876676613265,2742.961350975689,0.0,24.03990049486255,26.025153097532396,123.03721618652344,0.0,39,3.159344245528174,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
54514.84150148036,24274.16376426087,5144.434595397446,0.0,14.80421598129248,126.58623234281839,3224.1570892333984,0.0,32,12.36367146480974,10262.864332821731,6383.648177459438,2743.6106075496664,0.0,24.05992437119235,26.01764725623745,123.01438903808594,0.0,39,3.1624045064541573,"diggingpython -u ""c:\Users\Sai Harini R\OneDrive\Documents\python\varchasva\data.py"""
